name,dataset,group,status,attempts,start_time,end_time,elapsed,best_epoch,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@40,val_ndcg@40,val_recall@80,val_ndcg@80,test_recall@10,test_ndcg@10,test_recall@20,test_ndcg@20,test_recall@40,test_ndcg@40,test_recall@80,test_ndcg@80,log_path,error,overrides
iFashion_wo_diffusion,iFashion,wo_table,success,1,2026-07-16 17:13:44,2026-07-16 18:32:32,01:18:47,9,0.10741,0.08032,0.14982,0.09435,0.19983,0.1079,0.25802,0.12117,0.10787,0.10738,0.14999,0.12446,0.2002,0.14215,0.25903,0.15971,ablation_runs\ifashion_wo_fill_20260716\logs\iFashion_wo_diffusion_attempt1.log,,"{""dwt.use_latent_diffusion_rebuild"": false}"
iFashion_wo_dual_cl,iFashion,wo_table,success,1,2026-07-16 18:32:36,2026-07-16 19:47:39,01:15:03,19,0.02369,0.01552,0.03936,0.02073,0.06483,0.02764,0.102,0.03609,0.02468,0.02182,0.04004,0.02814,0.06577,0.03722,0.10336,0.04841,ablation_runs\ifashion_wo_fill_20260716\logs\iFashion_wo_dual_cl_attempt1.log,,"{""dwt.lambda_1"": 0.0}"
