epoch	edge_file	rebuilt_edges	avg_user_edges	user_coverage	bundle_coverage	density
19	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_019_edges.tsv	161691	3.000000	1.000000	0.253846	0.0001083267
20	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_020_edges.tsv	161691	3.000000	1.000000	0.253521	0.0001083267
21	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_021_edges.tsv	161691	3.000000	1.000000	0.257493	0.0001083267
22	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_022_edges.tsv	161691	3.000000	1.000000	0.254315	0.0001083267
23	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_023_edges.tsv	161691	3.000000	1.000000	0.257456	0.0001083267
24	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_024_edges.tsv	161691	3.000000	1.000000	0.258251	0.0001083267
25	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_025_edges.tsv	161691	3.000000	1.000000	0.261501	0.0001083267
26	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_026_edges.tsv	161691	3.000000	1.000000	0.260598	0.0001083267
27	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_027_edges.tsv	161691	3.000000	1.000000	0.260345	0.0001083267
28	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_028_edges.tsv	161691	3.000000	1.000000	0.259406	0.0001083267
29	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_029_edges.tsv	161691	3.000000	1.000000	0.257493	0.0001083267
30	outputs/module1_ablation/diffusion_topk_edges/iFashion/AnchorViewBundleNet/M1A_diff_k3_DWT_strategy_diffusion_k3_Neg_1_2048_0.001_64_2_0.05-0.0-0.2_0.5-0.5-0.0_0.3-0.4-0.3_0.5_f5e82bac/epoch_030_edges.tsv	161691	3.000000	1.000000	0.260526	0.0001083267
